id,qx,qy
0,4,40
1,75,24
2,11,33
3,1,18
4,16,59
5,92,47
6,30,40
7,63,34
8,87,70
9,78,37
10,26,58
11,86,61
12,43,58
13,49,83
14,20,64
15,52,35
16,28,75
17,51,78
18,41,48
19,10,63
20,93,89
21,21,7
22,29,60
23,10,17
24,94,89
25,18,77
26,88,34
27,16,64
28,74,69
29,54,77
30,18,64
31,15,19
32,45,89
33,56,69
34,82,44
35,43,2
36,89,29
37,96,65
38,36,18
39,57,16
40,67,32
41,23,29
42,53,20
43,3,17
44,6,85
45,0,45
46,65,73
47,64,64
48,41,32
49,100,24
50,61,98
51,80,92
52,94,88
53,19,31
54,36,75
55,66,61
56,68,87
57,45,94
58,4,66
59,91,71
60,44,83
61,73,30
62,91,42
63,47,47
64,34,79
65,55,28
66,1,38
67,4,56
68,55,68
69,6,35
70,92,59
71,65,59
72,36,52
73,86,80
74,64,57
75,26,16
76,26,48
77,21,2
78,10,0
79,66,82
80,16,38
81,7,100
82,24,95
83,7,9
84,32,77
85,90,55
86,9,84
87,99,61
88,100,25
89,18,42
90,73,79
91,7,14
92,54,63
93,31,13
94,59,54
95,80,82
96,39,50
97,9,31
98,52,72
99,6,82
100,14,53
101,19,70
102,7,79
103,92,39
104,84,13
105,6,1
106,81,66
107,16,33
108,12,9
109,79,54
110,63,37
111,80,11
112,3,36
113,27,7
114,25,2
115,2,82
116,8,67
117,3,23
118,89,45
119,79,10
120,92,51
121,78,40
122,91,21
123,98,14
124,90,83
125,32,80
126,100,10
127,37,53
128,43,84
129,28,71
130,100,20
131,24,53
132,76,63
133,10,4
134,79,32
135,50,2
136,74,4
137,66,75
138,69,4
139,21,3
140,5,60
141,96,57
142,89,30
143,36,57
144,55,37
145,63,37
146,22,43
147,9,96
148,87,28
149,100,44
